name,price,date,time,change,open,high,low,volume
"TISSUES",69.81,"6/11/2007","9:36am",-0.42,69.85,70.2,69.51,153900
"TOMATOES",42.92,"6/11/2007","9:35am",-0.15,42.95,43.0,42.89,221000
"TOWEL",49.78,"6/11/2007","9:36am",-0.3,49.9,50.0,49.76,676200
"YOGURT",82.5,"6/11/2007","9:36am",-0.18,82.68,82.84,82.41,481200
"ALMOND",39.59,"6/11/2007","9:40am",-0.07,39.67,39.69,39.43,252600
"BREAD",71.46,"6/11/2007","9:40am",-0.07,71.29,71.6,71.15,276900
"APPLES",62.71,"6/11/2007","9:40am",-0.33,62.79,63.0,62.42,1002100
"BANANA",98.31,"6/11/2007","9:40am",0.12,98.25,98.58,98.17,149700
"BUNS",53.14,"6/11/2007","9:40am",-0.19,53.2,53.25,53.02,546500
"BUTTER",78.49,"6/11/2007","9:40am",-0.03,78.32,78.49,78.06,262812
"CHEESE",50.85,"6/11/2007","9:40am",-0.28,51.13,51.14,50.69,155000
"CHERRIES",34.36,"6/11/2007","9:40am",0.16,34.28,34.38,34.12,276900
"CHIPS",37.3,"6/11/2007","9:40am",-0.02,37.07,37.32,37.05,1039900
"COCONUT",31.4,"6/11/2007","9:40am",0.4,31.0,31.62,30.9,1074079
"COFFEE",37.72,"6/11/2007","9:40am",-0.23,37.78,37.83,37.62,321769
"CELL",57.22,"6/11/2007","9:40am",-0.16,57.25,57.33,57.05,150400
"COOKIES",45.95399999999999,"6/11/2007","9:40am",0.254,45.8,45.98,45.46,424600
"DEODRANT",102.95,"6/11/2007","9:40am",-0.12,102.87,102.99,102.5,229500
"EGGS",21.85,"6/11/2007","9:46am",0.02,21.7,21.86,21.69,3605793
"FRESHNER",62.42,"6/11/2007","9:40am",0.29,62.89,62.89,62.15,433600
"GRAPES",50.42,"6/11/2007","9:40am",0.01,50.41,50.49,50.27,461400
"MILK",51.67,"6/11/2007","9:40am",0.0,51.67,51.73,51.54,4010650
"MINT",51.42,"6/11/2007","9:40am",0.01,51.47,51.47,50.98,245800
"OIL",85.45,"6/11/2007","9:40am",-0.49,85.94,85.98,85.44,225500
"MAT",69.95,"6/11/2007","9:40am",-0.35,70.25,70.3,69.95,543600
"ONIONS",50.58,"6/11/2007","9:40am",0.44,50.3,50.63,50.04,1586100
"PASTE",30.14,"6/11/2007","9:46am",0.09,30.05,30.15,29.93,6758871
"PEPPER",26.46,"6/11/2007","9:40am",-0.06,26.5,26.5,26.34,1101900
"SOAP",62.97,"6/11/2007","9:40am",-0.1,62.8,63.0,62.75,431246
"TEA",40.19,"6/11/2007","9:40am",-0.07,40.2,40.25,39.89,874100
"TISSUES",69.88,"6/11/2007","9:40am",-0.35,69.85,70.2,69.51,191800
"TOMATOES",43.06,"6/11/2007","9:40am",-0.01,42.95,43.07,42.89,322700
"TOWEL",49.72,"6/11/2007","9:40am",-0.36,49.9,50.0,49.7,822700
"YOGURT",82.41,"6/11/2007","9:40am",-0.27,82.68,82.84,82.35,705500
"ALMOND",39.78,"6/11/2007","9:46am",0.12,39.67,39.7946,39.43,347300
"BREAD",71.41,"6/11/2007","9:46am",-0.12,71.29,71.6,71.15,378000
"APPLES",62.87,"6/11/2007","9:46am",-0.17,62.79,63.0,62.42,1033500
"BANANA",98.5,"6/11/2007","9:46am",0.31,98.25,98.58,98.17,195100
"BUNS",53.13,"6/11/2007","9:46am",-0.2,53.2,53.25,53.02,715514
"BUTTER",78.77,"6/11/2007","9:46am",0.25,78.32,78.8128,78.06,329712
"CHEESE",50.81,"6/11/2007","9:46am",-0.32,51.13,51.14,50.69,198300
"CHERRIES",34.34,"6/11/2007","9:46am",0.14,34.28,34.44,34.12,392500
"CHIPS",37.27,"6/11/2007","9:46am",-0.05,37.07,37.34,37.05,1311900
"COCONUT",31.42,"6/11/2007","9:46am",0.42,31.0,31.62,30.9,1340279
"COFFEE",37.75,"6/11/2007","9:46am",-0.2,37.78,37.83,37.62,459769
"CELL",57.2,"6/11/2007","9:46am",-0.18,57.25,57.33,57.05,185700
"COOKIES",46.14,"6/11/2007","9:46am",0.44,45.8,46.15,45.46,797800
"DEODRANT",103.39,"6/11/2007","9:46am",0.32,102.87,103.47,102.5,413800
"EGGS",21.85,"6/11/2007","9:50am",0.02,21.7,21.93,21.69,4380516
"FRESHNER",62.52,"6/11/2007","9:46am",0.39,62.89,62.89,62.15,548200
"GRAPES",50.48,"6/11/2007","9:46am",0.07,50.41,50.55,50.27,657600
"MILK",51.67,"6/11/2007","9:45am",0.0,51.67,51.77,51.54,4092550
"MINT",51.36,"6/11/2007","9:46am",-0.05,51.47,51.47,50.98,343719
"OIL",85.48,"6/11/2007","9:46am",-0.46,85.94,85.98,85.41,270900
"MAT",70.0,"6/11/2007","9:46am",-0.3,70.25,70.3,69.88,723100
"ONIONS",50.5,"6/11/2007","9:46am",0.36,50.3,50.63,50.04,1689100
"PASTE",30.175,"6/11/2007","9:50am",0.125,30.05,30.2,29.93,7234309
"PEPPER",26.48,"6/11/2007","9:45am",-0.04,26.5,26.52,26.34,1363300
"SOAP",62.89,"6/11/2007","9:46am",-0.18,62.8,63.0,62.75,553446
"TEA",40.12,"6/11/2007","9:46am",-0.14,40.2,40.25,39.89,1073400
"TISSUES",69.92,"6/11/2007","9:46am",-0.31,69.85,70.2,69.51,244600
"TOMATOES",43.09,"6/11/2007","9:46am",0.02,42.95,43.17,42.89,515110
"TOWEL",49.78,"6/11/2007","9:46am",-0.3,49.9,50.0,49.65,949000
"YOGURT",82.6,"6/11/2007","9:46am",-0.08,82.68,82.84,82.35,934200
"ALMOND",40.15,"6/11/2007","9:51am",0.49,39.67,40.15,39.43,510630
"BREAD",71.5,"6/11/2007","9:50am",-0.03,71.29,71.6,71.15,441900
"APPLES",62.99,"6/11/2007","9:50am",-0.05,62.79,63.07,62.42,1067820
"BANANA",98.73,"6/11/2007","9:50am",0.54,98.25,98.79,98.17,233900
"BUNS",53.15,"6/11/2007","9:51am",-0.18,53.2,53.25,53.02,885114
"BUTTER",78.88,"6/11/2007","9:50am",0.36,78.32,78.99,78.06,386652
"CHEESE",51.13,"6/11/2007","9:50am",0.0,51.13,51.14,50.69,274100
"CHERRIES",34.42,"6/11/2007","9:51am",0.22,34.28,34.44,34.12,448200
"CHIPS",37.35,"6/11/2007","9:50am",0.03,37.07,37.37,37.05,1541100
"COCONUT",31.28,"6/11/2007","9:50am",0.28,31.0,31.62,30.9,1715679
"COFFEE",37.74,"6/11/2007","9:51am",-0.21,37.78,37.83,37.62,553869
"CELL",57.3,"6/11/2007","9:51am",-0.08,57.25,57.4,57.05,218000
"COOKIES",46.26,"6/11/2007","9:51am",0.56,45.8,46.26,45.46,1497780
"DEODRANT",103.3781,"6/11/2007","9:50am",0.3081,102.87,103.47,102.5,485800
"EGGS",21.83,"6/11/2007","9:55am",0.0,21.7,21.93,21.69,4802496
"FRESHNER",62.68,"6/11/2007","9:51am",0.55,62.89,62.89,62.15,756500
"GRAPES",50.5,"6/11/2007","9:50am",0.09,50.41,50.55,50.27,851700
"MILK",51.79,"6/11/2007","9:50am",0.12,51.67,51.79600000000001,51.54,4175960
"MINT",51.39,"6/11/2007","9:50am",-0.02,51.47,51.47,50.98,407819
"OIL",85.74,"6/11/2007","9:50am",-0.2,85.94,85.98,85.41,311100
"MAT",70.08,"6/11/2007","9:51am",-0.22,70.25,70.3,69.88,840100
"ONIONS",50.45,"6/11/2007","9:50am",0.31,50.3,50.63,50.04,1830600
"PASTE",30.22,"6/11/2007","9:56am",0.17,30.05,30.24,29.93,7724578
"PEPPER",26.45,"6/11/2007","9:51am",-0.07,26.5,26.52,26.34,1805950
"SOAP",63.1,"6/11/2007","9:50am",0.03,62.8,63.1,62.75,715146
"TEA",40.16,"6/11/2007","9:50am",-0.1,40.2,40.25,39.89,1199500
"TISSUES",70.06,"6/11/2007","9:50am",-0.17,69.85,70.2,69.51,270900
"TOMATOES",43.16,"6/11/2007","9:50am",0.09,42.95,43.18,42.89,614810
"TOWEL",49.87,"6/11/2007","9:51am",-0.21,49.9,50.0,49.65,1181700
"YOGURT",82.77,"6/11/2007","9:50am",0.09,82.68,82.86,82.35,1121100
"ALMOND",39.97,"6/11/2007","9:55am",0.31,39.67,40.18,39.43,598130
"BREAD",71.43,"6/11/2007","9:55am",-0.1,71.29,71.6,71.15,487600
"APPLES",62.89,"6/11/2007","9:55am",-0.15,62.79,63.07,62.42,1084520
"BANANA",98.66,"6/11/2007","9:56am",0.47,98.25,98.79,98.17,265800
"BUNS",53.14,"6/11/2007","9:56am",-0.19,53.2,53.25,53.02,954314
"BUTTER",78.87,"6/11/2007","9:55am",0.35,78.32,78.99,78.06,425952
"CHEESE",51.18,"6/11/2007","9:55am",0.05,51.13,51.21,50.69,341500
"CHERRIES",34.39,"6/11/2007","9:55am",0.19,34.28,34.44,34.12,523200
"CHIPS",37.39,"6/11/2007","9:56am",0.07,37.07,37.4,37.05,1786900
"COCONUT",31.31,"6/11/2007","9:55am",0.31,31.0,31.62,30.9,2399379
"COFFEE",37.75,"6/11/2007","9:55am",-0.2,37.78,37.83,37.62,622969
"CELL",57.29,"6/11/2007","9:56am",-0.09,57.25,57.4,57.05,245000
"COOKIES",46.25,"6/11/2007","9:56am",0.55,45.8,46.27,45.46,1615680
"DEODRANT",103.6,"6/11/2007","9:56am",0.53,102.87,103.62,102.5,569900
"EGGS",21.85,"6/11/2007","10:00am",0.02,21.7,21.95,21.69,5440945
"FRESHNER",62.74,"6/11/2007","9:56am",0.61,62.89,62.89,62.15,887700
"GRAPES",50.48,"6/11/2007","9:56am",0.07,50.41,50.55,50.27,924300
"MILK",51.63,"6/11/2007","9:56am",-0.04,51.67,51.82,51.54,4247360
"MINT",51.4,"6/11/2007","9:56am",-0.01,51.47,51.47,50.98,448219
"OIL",85.69,"6/11/2007","9:55am",-0.25,85.94,85.98,85.41,323200
"MAT",70.1,"6/11/2007","9:56am",-0.2,70.25,70.3,69.88,932900
"ONIONS",50.38,"6/11/2007","9:55am",0.24,50.3,50.63,50.04,1943600
"PASTE",30.2,"6/11/2007","10:01am",0.15,30.05,30.24,29.93,8053754
"PEPPER",26.48,"6/11/2007","9:55am",-0.04,26.5,26.53,26.34,2029150
"SOAP",63.07,"6/11/2007","9:56am",0.0,62.8,63.1,62.75,786646
"TEA",40.08,"6/11/2007","9:56am",-0.18,40.2,40.25,39.89,1364200
"TISSUES",70.06,"6/11/2007","9:56am",-0.17,69.85,70.2,69.51,289300
"TOMATOES",43.17,"6/11/2007","9:56am",0.1,42.95,43.19,42.89,683810
"TOWEL",49.88,"6/11/2007","9:56am",-0.2,49.9,50.0,49.65,1321100
"YOGURT",82.68,"6/11/2007","9:56am",0.0,82.68,82.86,82.35,1235100
"ALMOND",39.94,"6/11/2007","10:00am",0.28,39.67,40.18,39.43,660280
"BREAD",71.36,"6/11/2007","10:00am",-0.17,71.29,71.6,71.15,575042
"APPLES",62.83,"6/11/2007","10:00am",-0.21,62.79,63.07,62.42,1110520
"BANANA",98.62,"6/11/2007","10:01am",0.43,98.25,98.79,98.17,285700
"BUNS",53.06,"6/11/2007","10:01am",-0.27,53.2,53.25,53.02,1030199
"BUTTER",78.66,"6/11/2007","10:00am",0.14,78.32,78.99,78.06,452352
"CHEESE",51.09,"6/11/2007","10:01am",-0.04,51.13,51.21,50.69,402900
"CHERRIES",34.33,"6/11/2007","10:01am",0.13,34.28,34.44,34.12,740300
"CHIPS",37.41,"6/11/2007","10:01am",0.09,37.07,37.41,37.05,2106900
"COCONUT",31.29,"6/11/2007","10:01am",0.29,31.0,31.62,30.9,2570679
"COFFEE",37.76,"6/11/2007","10:00am",-0.19,37.78,37.83,37.62,683769
"CELL",57.335,"6/11/2007","10:01am",-0.045,57.25,57.4,57.05,289100
"COOKIES",46.25,"6/11/2007","10:01am",0.55,45.8,46.29,45.46,1752080
"DEODRANT",103.51,"6/11/2007","10:01am",0.44,102.87,103.63,102.5,607300
"EGGS",21.85,"6/11/2007","10:05am",0.02,21.7,21.95,21.69,5955030
"FRESHNER",62.75,"6/11/2007","10:01am",0.62,62.89,62.89,62.15,1031900
"GRAPES",50.45,"6/11/2007","10:00am",0.04,50.41,50.55,50.27,1010000
"MILK",51.55,"6/11/2007","10:00am",-0.12,51.67,51.82,51.54,4283460
"MINT",51.34,"6/11/2007","10:01am",-0.07,51.47,51.47,50.98,481919
"OIL",85.75,"6/11/2007","10:00am",-0.19,85.94,85.98,85.41,332600
"MAT",70.07,"6/11/2007","10:00am",-0.23,70.25,70.3,69.88,1007630
"ONIONS",50.32,"6/11/2007","10:01am",0.18,50.3,50.64,50.04,2165200
"PASTE",30.21,"6/11/2007","10:05am",0.16,30.05,30.25,29.93,8448925
"PEPPER",26.45,"6/11/2007","10:01am",-0.07,26.5,26.53,26.34,2252150
"SOAP",63.02,"6/11/2007","10:01am",-0.05,62.8,63.1,62.75,867746
"TEA",40.05,"6/11/2007","10:01am",-0.21,40.2,40.25,39.89,1496200
"TISSUES",70.0,"6/11/2007","10:00am",-0.23,69.85,70.2,69.51,308500
"TOMATOES",43.11,"6/11/2007","10:00am",0.04,42.95,43.19,42.89,804110
"TOWEL",49.78,"6/11/2007","10:01am",-0.3,49.9,50.0,49.65,1378500
"YOGURT",82.71,"6/11/2007","10:00am",0.03,82.68,82.86,82.35,1379100
"ALMOND",39.92,"6/11/2007","10:05am",0.26,39.67,40.18,39.43,693080
"BREAD",71.29,"6/11/2007","10:05am",-0.24,71.29,71.6,71.15,630742
"APPLES",62.74,"6/11/2007","10:05am",-0.3,62.79,63.07,62.42,1149120
"BANANA",98.47,"6/11/2007","10:06am",0.28,98.25,98.79,98.17,306700
"BUNS",52.97,"6/11/2007","10:06am",-0.36,53.2,53.25,52.92,1191699
"BUTTER",78.56,"6/11/2007","10:06am",0.04,78.32,78.99,78.06,512752
"CHEESE",51.068000000000005,"6/11/2007","10:05am",-0.062,51.13,51.21,50.69,490000
"CHERRIES",34.29,"6/11/2007","10:05am",0.09,34.28,34.44,34.12,790550
"CHIPS",37.36,"6/11/2007","10:06am",0.04,37.07,37.41,37.05,2388519
"COCONUT",31.35,"6/11/2007","10:05am",0.35,31.0,31.62,30.9,2770879
"COFFEE",37.75,"6/11/2007","10:06am",-0.2,37.78,37.83,37.62,909569
"CELL",57.22,"6/11/2007","10:06am",-0.16,57.25,57.4,57.05,307300
"COOKIES",46.22,"6/11/2007","10:05am",0.52,45.8,46.29,45.46,1904480
"DEODRANT",103.57,"6/11/2007","10:05am",0.5,102.87,103.63,102.5,666400
"EGGS",21.83,"6/11/2007","10:10am",0.0,21.7,21.95,21.69,6319637
"FRESHNER",62.7,"6/11/2007","10:06am",0.57,62.89,62.89,62.15,1138900
"GRAPES",50.35,"6/11/2007","10:05am",-0.06,50.41,50.55,50.27,1112900
"MILK",51.57,"6/11/2007","10:06am",-0.1,51.67,51.82,51.53,4320060
"MINT",51.31,"6/11/2007","10:06am",-0.1,51.47,51.47,50.98,533219
"OIL",85.76,"6/11/2007","10:05am",-0.18,85.94,85.98,85.41,384000
"MAT",69.99,"6/11/2007","10:05am",-0.31,70.25,70.3,69.88,1191130
"ONIONS",50.35,"6/11/2007","10:06am",0.21,50.3,50.64,50.04,2250500
"PASTE",30.18,"6/11/2007","10:11am",0.13,30.05,30.25,29.93,9049059
"PEPPER",26.41,"6/11/2007","10:05am",-0.11,26.5,26.53,26.34,2353550
"SOAP",63.03,"6/11/2007","10:06am",-0.04,62.8,63.1,62.75,920246
"TEA",40.04,"6/11/2007","10:06am",-0.22,40.2,40.25,39.89,1644100
"TISSUES",69.95,"6/11/2007","10:05am",-0.28,69.85,70.2,69.51,332000
"TOMATOES",43.04,"6/11/2007","10:05am",-0.03,42.95,43.19,42.89,886910
"TOWEL",49.7,"6/11/2007","10:05am",-0.38,49.9,50.0,49.65,1450500
"YOGURT",82.8681,"6/11/2007","10:05am",0.1881,82.68,82.89,82.35,1544600
"ALMOND",39.91,"6/11/2007","10:11am",0.25,39.67,40.18,39.43,755880
"BREAD",71.29,"6/11/2007","10:11am",-0.24,71.29,71.6,71.15,706842
"APPLES",62.79,"6/11/2007","10:10am",-0.25,62.79,63.07,62.42,1183320
"BANANA",98.45,"6/11/2007","10:11am",0.26,98.25,98.79,98.17,344500
"BUNS",52.926,"6/11/2007","10:11am",-0.40399999999999997,53.2,53.25,52.91,1347199
"BUTTER",78.58,"6/11/2007","10:11am",0.06,78.32,78.99,78.06,559652
"CHEESE",50.998999999999995,"6/11/2007","10:11am",-0.131,51.13,51.21,50.69,542900
"CHERRIES",34.29,"6/11/2007","10:11am",0.09,34.28,34.44,34.12,836650
"CHIPS",37.38,"6/11/2007","10:11am",0.06,37.07,37.41,37.05,2643919
"COCONUT",31.3,"6/11/2007","10:11am",0.3,31.0,31.62,30.9,2943679
"COFFEE",37.75,"6/11/2007","10:11am",-0.2,37.78,37.83,37.62,1015369
"CELL",57.23,"6/11/2007","10:11am",-0.15,57.25,57.4,57.05,332200
"COOKIES",46.18,"6/11/2007","10:11am",0.48,45.8,46.29,45.46,2006780
"DEODRANT",103.35,"6/11/2007","10:11am",0.28,102.87,103.63,102.5,734000
"EGGS",21.83,"6/11/2007","10:16am",0.0,21.7,21.95,21.69,6790042
"FRESHNER",62.71,"6/11/2007","10:11am",0.58,62.89,62.89,62.15,1274000
"GRAPES",50.28,"6/11/2007","10:11am",-0.13,50.41,50.55,50.26,1187600
"MILK",51.56,"6/11/2007","10:11am",-0.11,51.67,51.82,51.53,4370560
"MINT",51.25,"6/11/2007","10:11am",-0.16,51.47,51.47,50.98,587519
"OIL",85.78,"6/11/2007","10:10am",-0.16,85.94,85.98,85.41,414300
"MAT",69.95,"6/11/2007","10:11am",-0.35,70.25,70.3,69.88,1273530
"ONIONS",50.29,"6/11/2007","10:11am",0.15,50.3,50.64,50.04,2332500
"PASTE",30.14,"6/11/2007","10:16am",0.09,30.05,30.25,29.93,9998935
"PEPPER",26.449,"6/11/2007","10:10am",-0.071,26.5,26.53,26.34,2551150
"SOAP",63.07,"6/11/2007","10:10am",0.0,62.8,63.1,62.75,1010846
"TEA",40.04,"6/11/2007","10:10am",-0.22,40.2,40.25,39.89,1922900
"TISSUES",69.91,"6/11/2007","10:11am",-0.32,69.85,70.2,69.51,354300
"TOMATOES",43.1,"6/11/2007","10:10am",0.03,42.95,43.19,42.89,998110
"TOWEL",49.73,"6/11/2007","10:11am",-0.35,49.9,50.0,49.65,1577400
"YOGURT",83.02,"6/11/2007","10:11am",0.34,82.68,83.11,82.35,1789600
"ALMOND",39.76,"6/11/2007","10:15am",0.1,39.67,40.18,39.43,804580
"BREAD",71.29,"6/11/2007","10:16am",-0.24,71.29,71.6,71.15,781442
"APPLES",62.69,"6/11/2007","10:16am",-0.35,62.79,63.07,62.42,1212120
"BANANA",98.29,"6/11/2007","10:16am",0.1,98.25,98.79,98.17,373200
"BUNS",52.91,"6/11/2007","10:16am",-0.42,53.2,53.25,52.84,1455899
"BUTTER",78.51,"6/11/2007","10:16am",-0.01,78.32,78.99,78.06,607452
"CHEESE",51.02,"6/11/2007","10:16am",-0.11,51.13,51.21,50.69,576600
"CHERRIES",34.25,"6/11/2007","10:16am",0.05,34.28,34.44,34.12,880150
"CHIPS",37.32,"6/11/2007","10:16am",0.0,37.07,37.41,37.05,2784119
"COCONUT",31.28,"6/11/2007","10:16am",0.28,31.0,31.62,30.9,3270779
"COFFEE",37.76,"6/11/2007","10:16am",-0.19,37.78,37.83,37.62,1141469
"CELL",57.11,"6/11/2007","10:16am",-0.27,57.25,57.4,57.05,379600
"COOKIES",46.06,"6/11/2007","10:16am",0.36,45.8,46.29,45.46,2073280
"DEODRANT",103.17,"6/11/2007","10:16am",0.1,102.87,103.63,102.5,798600
"EGGS",21.84,"6/11/2007","10:20am",0.01,21.7,21.95,21.69,7235829
"FRESHNER",62.66,"6/11/2007","10:16am",0.53,62.89,62.89,62.15,1412600
"GRAPES",50.23,"6/11/2007","10:16am",-0.18,50.41,50.55,50.2,1304200
"MILK",51.52,"6/11/2007","10:16am",-0.15,51.67,51.82,51.5,4471160
"MINT",51.17,"6/11/2007","10:15am",-0.24,51.47,51.47,50.98,640119
"OIL",85.69,"6/11/2007","10:15am",-0.25,85.94,85.98,85.41,436200
"MAT",69.9,"6/11/2007","10:15am",-0.4,70.25,70.3,69.88,1350130
"ONIONS",50.375,"6/11/2007","10:16am",0.235,50.3,50.64,50.04,2501800
"PASTE",30.105,"6/11/2007","10:21am",0.055,30.05,30.25,29.93,11615862
"PEPPER",26.43,"6/11/2007","10:16am",-0.09,26.5,26.53,26.34,2699150
"SOAP",63.03,"6/11/2007","10:15am",-0.04,62.8,63.1,62.75,1084346
"TEA",40.04,"6/11/2007","10:16am",-0.22,40.2,40.25,39.89,2049000
"TISSUES",69.8,"6/11/2007","10:16am",-0.43,69.85,70.2,69.51,390200
"TOMATOES",43.12,"6/11/2007","10:16am",0.05,42.95,43.19,42.89,1540810
"TOWEL",49.71,"6/11/2007","10:16am",-0.37,49.9,50.0,49.65,1700900
"YOGURT",82.79,"6/11/2007","10:16am",0.11,82.68,83.11,82.35,1945300
"ALMOND",39.7264,"6/11/2007","10:21am",0.0664,39.67,40.18,39.43,860780
"BREAD",71.28,"6/11/2007","10:21am",-0.25,71.29,71.6,71.15,826742
"APPLES",62.775,"6/11/2007","10:21am",-0.265,62.79,63.07,62.42,1262720
"BANANA",98.17,"6/11/2007","10:21am",-0.02,98.25,98.79,98.15,420500
"BUNS",52.89,"6/11/2007","10:20am",-0.44,53.2,53.25,52.84,1554299
"BUTTER",78.46,"6/11/2007","10:21am",-0.06,78.32,78.99,78.06,645152
"CHEESE",51.02,"6/11/2007","10:20am",-0.11,51.13,51.21,50.69,616000
"CHERRIES",34.29,"6/11/2007","10:21am",0.09,34.28,34.44,34.12,961150
"CHIPS",37.31,"6/11/2007","10:21am",-0.01,37.07,37.41,37.05,2994719
"COCONUT",31.16,"6/11/2007","10:21am",0.16,31.0,31.62,30.9,3450979
"COFFEE",37.75,"6/11/2007","10:20am",-0.2,37.78,37.83,37.62,1239969
"CELL",57.14,"6/11/2007","10:21am",-0.24,57.25,57.4,57.05,427800
"COOKIES",46.08,"6/11/2007","10:21am",0.38,45.8,46.29,45.46,2169080
"DEODRANT",103.24,"6/11/2007","10:21am",0.17,102.87,103.63,102.5,1110200
"EGGS",21.85,"6/11/2007","10:26am",0.02,21.7,21.95,21.69,7668158
"FRESHNER",62.65,"6/11/2007","10:21am",0.52,62.89,62.89,62.15,1466978
"GRAPES",50.14,"6/11/2007","10:21am",-0.27,50.41,50.55,50.13,1391100
"MILK",51.44,"6/11/2007","10:20am",-0.23,51.67,51.82,51.44,4528060
"MINT",51.19,"6/11/2007","10:20am",-0.22,51.47,51.47,50.98,694019
"OIL",85.58,"6/11/2007","10:20am",-0.36,85.94,85.98,85.41,455600
"MAT",69.86,"6/11/2007","10:21am",-0.44,70.25,70.3,69.76,1542230
"ONIONS",50.34,"6/11/2007","10:21am",0.2,50.3,50.64,50.04,2582400
"PASTE",30.1,"6/11/2007","10:26am",0.05,30.05,30.25,29.93,12004109
"PEPPER",26.43,"6/11/2007","10:21am",-0.09,26.5,26.53,26.34,2986570
"SOAP",63.06,"6/11/2007","10:21am",-0.01,62.8,63.1,62.75,1165646
"TEA",40.04,"6/11/2007","10:20am",-0.22,40.2,40.25,39.89,2229600
"TISSUES",69.66,"6/11/2007","10:21am",-0.57,69.85,70.2,69.51,420400
"TOMATOES",43.12,"6/11/2007","10:21am",0.05,42.95,43.19,42.89,1615410
"TOWEL",49.65,"6/11/2007","10:21am",-0.43,49.9,50.0,49.65,1851200
"YOGURT",82.84,"6/11/2007","10:21am",0.16,82.68,83.11,82.35,2132200
"ALMOND",39.63,"6/11/2007","10:26am",-0.03,39.67,40.18,39.43,899080
"BREAD",71.3,"6/11/2007","10:26am",-0.23,71.29,71.6,71.15,896542
"APPLES",62.8,"6/11/2007","10:26am",-0.24,62.79,63.07,62.42,1296620
"BANANA",98.04,"6/11/2007","10:26am",-0.15,98.25,98.79,97.96,466900
"BUNS",52.91,"6/11/2007","10:26am",-0.42,53.2,53.25,52.81,1672699
"BUTTER",78.37,"6/11/2007","10:26am",-0.15,78.32,78.99,78.06,704152
"CHEESE",50.94,"6/11/2007","10:25am",-0.19,51.13,51.21,50.69,643200
"CHERRIES",34.24,"6/11/2007","10:26am",0.04,34.28,34.44,34.12,1025550
"CHIPS",37.26,"6/11/2007","10:26am",-0.06,37.07,37.41,37.05,3290619
"COCONUT",31.22,"6/11/2007","10:26am",0.22,31.0,31.62,30.9,4096679
"COFFEE",37.75,"6/11/2007","10:26am",-0.2,37.78,37.83,37.62,1559369
"CELL",57.1,"6/11/2007","10:26am",-0.28,57.25,57.4,57.03,450900
"COOKIES",46.1,"6/11/2007","10:26am",0.4,45.8,46.29,45.46,2260680
"DEODRANT",103.2,"6/11/2007","10:26am",0.13,102.87,103.63,102.5,1147300
"EGGS",21.84,"6/11/2007","10:31am",0.01,21.7,21.95,21.69,8125254
"FRESHNER",62.55,"6/11/2007","10:26am",0.42,62.89,62.89,62.15,1616778
"GRAPES",50.14,"6/11/2007","10:26am",-0.27,50.41,50.55,50.05,1498700
"MILK",51.39,"6/11/2007","10:26am",-0.28,51.67,51.82,51.32,4607560
"MINT",51.17,"6/11/2007","10:25am",-0.24,51.47,51.47,50.98,740919
"OIL",85.51,"6/11/2007","10:26am",-0.43,85.94,85.98,85.41,478800
